DispositionScore,OrbitalPeriod[days,OrbitalPeriodUpperUnc.[days,OrbitalPeriodLowerUnc.[days,TransitEpoch[BKJD,TransitEpochUpperUnc.[BKJD,TransitEpochLowerUnc.[BKJD,ImpactParamete,ImpactParameterUpperUnc,ImpactParameterLowerUnc,TransitDuration[hrs,TransitDurationUpperUnc.[hrs,TransitDurationLowerUnc.[hrs,TransitDepth[ppm,TransitDepthUpperUnc.[ppm,TransitDepthLowerUnc.[ppm,PlanetaryRadius[Earthradii,PlanetaryRadiusUpperUnc.[Earthradii,PlanetaryRadiusLowerUnc.[Earthradii,EquilibriumTemperature[K,InsolationFlux[Earthflux,InsolationFluxUpperUnc.[Earthflux,InsolationFluxLowerUnc.[Earthflux,TransitSignal-to-Nois,TCEPlanetNumbe,StellarEffectiveTemperature[K,StellarEffectiveTemperatureUpperUnc.[K,StellarEffectiveTemperatureLowerUnc.[K,StellarSurfaceGravity[log10(cm/s**2),StellarSurfaceGravityUpperUnc.[log10(cm/s**2),StellarSurfaceGravityLowerUnc.[log10(cm/s**2),StellarRadius[Solarradii,StellarRadiusUpperUnc.[Solarradii,StellarRadiusLowerUnc.[Solarradii,RA[decimaldegrees,Dec[decimaldegrees,Kepler-band[mag]
0.895,28.55158187,8.92e-05,-8.92e-05,185.47672,0.00245,-0.00245,0.623,0.272,-0.40299999999999997,4.1502,0.0837,-0.0837,808.0,24.1,-24.1,1.97,0.16,-0.17,418.0,7.21,2.16,-1.9,36.0,2.0,4621.0,124.0,-137.0,4.605,0.052000000000000005,-0.027999999999999997,0.6679999999999999,0.054000000000000006,-0.059000000000000004,284.03222999999997,39.78133,14.427
0.0,4.045057186,5.32e-06,-5.32e-06,172.68365,0.00108,-0.00108,1.2919999999999998,11.44,-0.124,2.9954,0.06,-0.06,753.0,14.5,-14.5,30.33,7.32,-3.94,1126.0,381.17,279.86,-125.66,62.2,1.0,5906.0,177.0,-177.0,4.473,0.094,-0.175,0.87,0.21,-0.113,294.58817,40.165051,14.865
1.0,10.13958818,2.08e-05,-2.08e-05,178.45074,0.00157,-0.00157,0.078,0.32299999999999995,-0.078,2.6446,0.0517,-0.0517,1160.0,31.8,-31.8,1.68,0.13,-0.13,447.0,9.41,2.34,-2.15,40.3,1.0,3893.0,78.0,-85.0,4.758,0.04,-0.036000000000000004,0.5,0.037000000000000005,-0.040999999999999995,297.07016,40.868790000000004,14.902000000000001
0.0,43.5859419,0.000181,-0.000181,194.6107,0.00278,-0.00278,0.011000000000000001,0.41700000000000004,-0.011000000000000001,4.6814,0.0975,-0.0975,1710.0,46.8,-46.8,2.05,0.15,-0.17,275.0,1.35,0.33,-0.31,38.9,2.0,3893.0,78.0,-85.0,4.758,0.04,-0.036000000000000004,0.5,0.037000000000000005,-0.040999999999999995,297.07016,40.868790000000004,14.902000000000001
1.0,0.9867858340000001,6.979999999999999e-07,-6.979999999999999e-07,133.171292,0.0006129999999999999,-0.0006129999999999999,0.026000000000000002,0.289,-0.026000000000000002,1.1879,0.018000000000000002,-0.018000000000000002,450.0,9.5,-9.5,1.19,0.07,-0.06,1054.0,292.35,56.64,-53.12,51.5,4.0,4041.0,72.0,-88.0,4.697,0.024,-0.027000000000000003,0.5670000000000001,0.031,-0.031,296.11258,39.978778999999996,14.804
0.998,24.7962801,0.00010700000000000001,-0.00010700000000000001,170.32595,0.0036200000000000004,-0.0036200000000000004,0.01,0.40299999999999997,-0.01,8.33,0.107,-0.107,574.0,15.1,-15.1,2.7,0.45,-0.32,664.0,45.92,19.92,-12.32,43.6,1.0,5770.0,78.0,-78.0,4.333,0.11,-0.11,1.141,0.18899999999999997,-0.138,298.47321,40.075871,14.612
0.0,5.91037674,2.15e-05,-2.15e-05,171.15166000000002,0.00281,-0.00281,0.12300000000000001,0.342,-0.122,3.4210000000000003,0.10099999999999999,-0.10099999999999999,257.0,8.8,-8.8,1.38,0.32,-0.22,937.0,182.47,130.83,-67.59,34.5,1.0,5515.0,165.0,-165.0,4.4430000000000005,0.136,-0.204,0.867,0.204,-0.136,293.83701,40.41275,14.276
1.0,27.4536146,0.00010800000000000001,-0.00010800000000000001,145.02866,0.00345,-0.00345,0.765,0.142,-0.556,3.747,0.10099999999999999,-0.10099999999999999,136.0,5.3,-5.3,0.95,0.06,-0.04,457.0,10.34,2.35,-1.56,27.5,3.0,4900.0,98.0,-98.0,4.602,0.017,-0.049,0.741,0.048,-0.03,281.48273,47.208031,11.492
1.0,8.22241355,1.05e-05,-1.05e-05,172.95657,0.0010199999999999999,-0.0010199999999999999,0.24600000000000002,0.21,-0.24600000000000002,2.71,0.0413,-0.0413,1470.0,25.2,-25.2,2.28,0.09,-0.11,558.0,22.86,3.93,-3.84,67.0,1.0,4213.0,84.0,-84.0,4.658,0.025,-0.02,0.615,0.025,-0.031,283.49982,40.552799,15.0
0.0,0.635587392,2.14e-06,-2.14e-06,133.41665,0.00265,-0.00265,1.151,0.036000000000000004,-0.155,4.7,0.26899999999999996,-0.26899999999999996,148.0,4.7,-4.7,28.58,4.16,-6.24,2587.0,10637.41,4084.68,-4478.61,40.9,2.0,5671.0,76.0,-76.0,4.075,0.18899999999999997,-0.081,1.608,0.23399999999999999,-0.35100000000000003,289.79907000000003,38.555061,14.565
1.0,13.02363236,3.21e-05,-3.21e-05,178.52482,0.0017699999999999999,-0.0017699999999999999,0.032,0.41700000000000004,-0.032,3.9734,0.067,-0.067,607.0,14.1,-14.1,2.3,0.3,-0.19,743.0,71.85,26.69,-15.78,50.5,1.0,5627.0,101.0,-112.0,4.453,0.07200000000000001,-0.10800000000000001,0.945,0.12300000000000001,-0.076,293.47012,39.252811,14.07
1.0,11.637030300000001,3.09e-05,-3.09e-05,178.84448,0.00201,-0.00201,0.066,0.363,-0.066,3.3372,0.0683,-0.0683,604.0,18.4,-18.4,2.9,0.45,-0.49,857.0,127.46,53.01,-44.34,36.4,1.0,5576.0,83.0,-75.0,4.257,0.168,-0.11199999999999999,1.198,0.18600000000000003,-0.204,293.53085,39.315891,14.943
0.995,6.93650854,8.2e-05,-8.2e-05,133.98309,0.00948,-0.00948,0.331,0.131,-0.331,3.674,0.27,-0.27,88.7,8.9,-8.9,1.51,0.28,-0.21,1305.0,687.21,322.55,-203.54,11.3,2.0,6615.0,65.0,-92.0,4.173,0.10800000000000001,-0.132,1.574,0.297,-0.21600000000000003,294.89734,40.798168,12.209000000000001
1.0,5.68798675,1.28e-05,-1.28e-05,133.95606999999998,0.0018399999999999998,-0.0018399999999999998,0.6629999999999999,0.048,-0.47600000000000003,2.2682,0.0602,-0.0602,476.0,16.2,-16.2,2.76,0.43,-0.47,1088.0,330.44,137.42,-114.95,33.0,2.0,5576.0,83.0,-75.0,4.257,0.168,-0.11199999999999999,1.198,0.18600000000000003,-0.204,293.53085,39.315891,14.943
0.059000000000000004,3.0551710819999998,1.18e-06,-1.18e-06,171.099046,0.000301,-0.000301,1.204,13.8,-0.07200000000000001,1.6798,0.0179,-0.0179,8670.0,75.0,-75.0,35.24,9.86,-4.57,1358.0,804.33,667.81,-276.61,143.2,1.0,6237.0,176.0,-220.0,4.426,0.098,-0.196,0.987,0.276,-0.128,297.39825,40.229191,14.741
1.0,5.40426917,1.18e-05,-1.18e-05,172.18553,0.00173,-0.00173,0.22899999999999998,0.22399999999999998,-0.22899999999999998,2.5315,0.06,-0.06,861.0,23.0,-23.0,2.85,0.89,-0.3,1073.0,312.93,289.85,-91.85,40.5,1.0,6122.0,169.0,-190.0,4.487,0.052000000000000005,-0.20800000000000002,0.9640000000000001,0.303,-0.10099999999999999,290.84906,48.416012,14.697000000000001
1.0,11.67894236,2.45e-05,-2.45e-05,131.5119,0.0017699999999999999,-0.0017699999999999999,0.94,0.015,-0.7120000000000001,1.2641,0.0515,-0.0515,1190.0,63.8,-63.8,4.17,1.31,-0.44,830.0,112.07,103.8,-32.9,23.1,2.0,6122.0,169.0,-190.0,4.487,0.052000000000000005,-0.20800000000000002,0.9640000000000001,0.303,-0.10099999999999999,290.84906,48.416012,14.697000000000001
1.0,1.208462378,4.31e-06,-4.31e-06,133.67712,0.00294,-0.00294,0.831,0.135,-0.594,1.544,0.0972,-0.0972,227.0,15.3,-15.3,1.64,0.51,-0.17,1767.0,2307.65,2137.38,-677.34,17.4,3.0,6122.0,169.0,-190.0,4.487,0.052000000000000005,-0.20800000000000002,0.9640000000000001,0.303,-0.10099999999999999,290.84906,48.416012,14.697000000000001
0.9940000000000001,2.85188338,4.3200000000000007e-05,-4.3200000000000007e-05,132.1455,0.0133,-0.0133,0.578,0.38299999999999995,-0.363,2.6660000000000004,0.415,-0.415,115.0,14.1,-14.1,1.23,0.42,-0.17,1398.0,903.77,930.12,-337.88,10.1,2.0,6123.0,193.0,-265.0,4.413,0.07200000000000001,-0.217,1.107,0.375,-0.15,285.55481000000003,45.578860999999996,15.649000000000001
1.0,12.91385906,4.3200000000000007e-05,-4.3200000000000007e-05,177.27535,0.00268,-0.00268,0.845,0.018000000000000002,-0.583,5.3685,0.0952,-0.0952,488.0,13.4,-13.4,2.49,0.68,-0.37,849.0,122.66,98.42,-44.69,40.5,1.0,6253.0,169.0,-206.0,4.41,0.105,-0.195,0.997,0.272,-0.147,291.15939,51.334862,14.647
0.953,54.31996151,3.39e-05,-3.39e-05,161.239869,0.000503,-0.000503,0.49700000000000005,0.005,-0.35700000000000004,8.5858,0.0243,-0.0243,1980.0,7.2,-7.2,6.07,1.11,-0.91,584.0,27.4,13.75,-9.25,291.3,2.0,6181.0,111.0,-135.0,4.234,0.14300000000000002,-0.11699999999999999,1.331,0.243,-0.19899999999999998,297.33307,41.891121000000005,12.205
0.0,252.0792347,0.000286,-0.000286,240.234923,0.000893,-0.000893,1.2830000000000001,42.65,-0.215,3.9808,0.0488,-0.0488,5580.0,64.3,-64.3,41.07,12.8,-5.15,318.0,2.42,2.16,-0.8,104.1,1.0,6348.0,152.0,-209.0,4.434,0.067,-0.20199999999999999,1.014,0.317,-0.127,288.19809,41.09417,14.183
0.0,27.04627886,4.6399999999999996e-05,-4.6399999999999996e-05,171.95525,0.0013,-0.0013,0.9620000000000001,0.033,-0.025,2.6660000000000004,0.16399999999999998,-0.16399999999999998,901.0,35.1,-35.1,3.54,1.09,-0.34,636.0,38.62,35.17,-10.98,48.8,1.0,6332.0,174.0,-206.0,4.516,0.039,-0.221,0.915,0.28300000000000003,-0.08800000000000001,291.75223,41.311240999999995,14.173
0.0,3.723560726,6.5e-06,-6.5e-06,172.17977,0.00143,-0.00143,0.9540000000000001,0.006,-0.59,3.435,0.177,-0.177,540.0,10.6,-10.6,3.46,1.0,-0.42,1401.0,910.65,745.12,-296.49,58.9,1.0,6535.0,154.0,-212.0,4.373,0.062,-0.175,1.181,0.33899999999999997,-0.145,290.41916000000003,41.525372,14.93
0.9490000000000001,18.3848331,0.000262,-0.000262,135.4745,0.0148,-0.0148,0.711,0.253,-0.513,3.545,0.385,-0.385,152.0,16.9,-16.9,1.15,0.06,-0.09,587.0,27.99,4.82,-5.81,10.3,2.0,5083.0,83.0,-76.0,4.468,0.08800000000000001,-0.033,0.872,0.042,-0.07200000000000001,289.19263,44.149319,14.685
1.0,3.705991661,4.78e-06,-4.78e-06,169.94286,0.00108,-0.00108,0.623,0.182,-0.402,5.1658,0.047,-0.047,501.0,5.8,-5.8,2.43,0.76,-0.33,1281.0,637.42,612.58,-230.94,100.3,1.0,6187.0,197.0,-241.0,4.409,0.087,-0.203,1.034,0.326,-0.14,293.70847000000003,41.615131,14.640999999999998
0.0,5.188671659,2.19e-06,-2.19e-06,125.87938799999999,0.00035299999999999996,-0.00035299999999999996,0.884,0.013000000000000001,-0.021,5.0534,0.0566,-0.0566,549.0,2.0,-2.0,5.2,2.13,-1.15,2118.0,4750.81,5944.26,-2336.46,331.6,2.0,9523.0,302.0,-416.0,4.205,0.136,-0.221,1.9409999999999998,0.795,-0.428,298.32425,42.38847,10.96
0.001,2.2361005880000002,2.98e-06,-2.98e-06,169.64852,0.00105,-0.00105,1.4269999999999998,36.7,-0.841,1.8643,0.0591,-0.0591,27200.0,770.0,-770.0,55.59,14.5,-4.82,1255.0,586.38,449.78,-148.05,43.0,1.0,5708.0,154.0,-154.0,4.578,0.032,-0.168,0.795,0.207,-0.069,285.11969,42.299129,14.549000000000001
0.932,40.606895,0.00018899999999999999,-0.00018899999999999999,199.25748000000002,0.00343,-0.00343,0.494,0.413,-0.292,5.756,0.114,-0.114,658.0,21.2,-21.2,2.67,0.38,-0.3,521.0,17.4,6.45,-4.57,36.3,1.0,5538.0,74.0,-83.0,4.3839999999999995,0.11599999999999999,-0.105,1.0270000000000001,0.14400000000000002,-0.11800000000000001,295.4328,40.648239000000004,14.56
